,width,height,intensity,num_lines_abs,num_shapes_abs,num_lines_unit,num_shapes_unit
3,1,1,8,29,141,29.0,141.0
4,1,1,16,61,446,61.0,446.0
0,1,1,1,5,10,5.0,10.0
1,1,1,2,4,2,4.0,2.0
2,1,1,4,15,24,15.0,24.0
3,1,1,8,41,167,41.0,167.0
4,1,1,16,66,473,66.0,473.0
0,1,1,1,4,11,4.0,11.0
1,1,1,2,14,31,14.0,31.0
2,1,1,4,17,40,17.0,40.0
3,1,1,8,36,98,36.0,98.0
4,1,1,16,59,371,59.0,371.0
0,1,1,1,4,4,4.0,4.0
1,1,1,2,10,14,10.0,14.0
2,1,1,4,13,47,13.0,47.0
3,1,1,8,20,48,20.0,48.0
4,1,1,16,66,513,66.0,513.0
0,1,1,1,6,11,6.0,11.0
1,1,1,2,9,4,9.0,4.0
2,1,1,4,23,75,23.0,75.0
3,1,1,8,33,140,33.0,140.0
4,1,1,16,64,463,64.0,463.0
0,1,1,1,5,6,5.0,6.0
1,1,1,2,6,8,6.0,8.0
2,1,1,4,14,24,14.0,24.0
3,1,1,8,41,135,41.0,135.0
4,1,1,16,75,492,75.0,492.0
0,1,1,1,8,9,8.0,9.0
1,1,1,2,6,8,6.0,8.0
2,1,1,4,15,42,15.0,42.0
3,1,1,8,30,78,30.0,78.0
4,1,1,16,74,624,74.0,624.0
0,1,1,1,4,3,4.0,3.0
1,1,1,2,6,6,6.0,6.0
2,1,1,4,19,34,19.0,34.0
3,1,1,8,28,77,28.0,77.0
4,1,1,16,53,183,53.0,183.0
0,1,1,1,7,15,7.0,15.0
1,1,1,2,9,23,9.0,23.0
2,1,1,4,16,24,16.0,24.0
3,1,1,8,36,121,36.0,121.0
4,1,1,16,68,430,68.0,430.0
0,1,1,1,1,0,1.0,0.0
1,1,1,2,7,16,7.0,16.0
2,1,1,4,19,34,19.0,34.0
3,1,1,8,42,247,42.0,247.0
4,1,1,16,69,563,69.0,563.0
