,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
1410,51633,20,hybrid,1000,216,Mozambique,beta,784251.4888792059,1200.0,782797.7701004881,327,22.262114,0.016,1.0,0.016,1.0,3.366
1411,51633,20,hybrid,1000,216,Bangladesh,delta,990630.7297505856,2805.9888522104598,988058.1500611452,192,30.133211,0.016,2.2,0.0352,1.0,3.4690000000000003
1412,51633,20,hybrid,1000,216,Gambia,alpha,983138.9619897902,1080.0,982018.3634627112,665,22.165237,0.016,1.67,0.02672,1.0,7.228999999999999
1413,51633,20,hybrid,1000,216,Mozambique,beta,779998.5496636457,976.1736245379072,779076.6006959826,471,22.19085,0.016,1.0,0.016,1.0,3.366
1414,51633,20,hybrid,1000,216,Oman,gamma,1013403.1920479012,1380.0,1011972.1230290238,529,29.937054,0.016,2.0,0.032,1.0,7.017
1415,51633,20,hybrid,1000,216,Mozambique,beta,779293.5409150437,1015.31308146688,778329.1762526538,468,22.087273,0.016,1.0,0.016,1.0,3.366
1416,51633,20,hybrid,1000,216,Mozambique,beta,789422.8831932453,1005.159780352,788134.7648234838,157,22.341978,0.016,1.0,0.016,1.0,3.366
1417,51633,20,hybrid,1000,216,Mozambique,beta,788937.7453370995,920.0,787860.860314715,159,22.367123,0.016,1.0,0.016,1.0,3.366
1418,51633,20,hybrid,1000,216,Oman,beta,958077.5821442172,1440.0,956370.0184521116,283,30.000685,0.016,1.0,0.016,1.0,7.017
1419,51633,20,hybrid,1000,216,Bangladesh,delta,994252.3590409796,2920.0,991416.430432078,375,30.203152,0.016,2.2,0.0352,1.0,3.4690000000000003
1420,51633,20,hybrid,1000,216,Gambia,delta,1004217.6521323434,1140.0,1003100.7340923598,139,22.174906,0.016,2.2,0.0352,1.0,7.228999999999999
1421,51633,20,hybrid,1000,216,Gambia,alpha,981136.3249736148,1020.0,980180.7857888062,247,22.204212,0.016,1.67,0.02672,1.0,7.228999999999999
1422,51633,20,hybrid,1000,216,Mozambique,beta,784129.8669803669,1085.159780352,783065.6854832456,802,22.369438,0.016,1.0,0.016,1.0,3.366
1423,51633,20,hybrid,1000,216,Bangladesh,delta,992972.5564494492,2920.0,990224.8075902624,939,30.072733,0.016,2.2,0.0352,1.0,3.4690000000000003
1424,51633,20,hybrid,1000,216,Bangladesh,gamma,985515.98022679,2660.0,983091.051886244,394,30.156164,0.016,2.0,0.032,1.0,3.4690000000000003
1425,51633,20,hybrid,1000,216,Mozambique,beta,784901.9565829718,1060.0,783744.4382077713,324,22.243193,0.016,1.0,0.016,1.0,3.366
1426,51633,20,hybrid,1000,216,Gambia,delta,1002182.1062323046,960.0,1001126.3814745552,15,22.08989,0.016,2.2,0.0352,1.0,7.228999999999999
