,Unnamed: 0,Unnamed: 0.1,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
44,90,90,51633,20,hybrid,1000,216,Gambia,alpha,981776.8696121762,960.0,980851.820934146,918,22.305584,0.016,1.67,0.02672,1.0,7.228999999999999
46,93,93,51633,20,hybrid,1000,216,Gambia,gamma,996701.6377300572,1080.0,995862.295388918,976,22.15731,0.016,2.0,0.032,1.0,7.228999999999999
47,97,97,51633,20,hybrid,1000,216,Gambia,alpha,981145.6794525628,1220.0,980181.156756199,208,22.275055,0.016,1.67,0.02672,1.0,7.228999999999999
49,102,102,51633,20,hybrid,1000,216,Gambia,alpha,980702.5451474268,1200.0,979497.8014385432,887,22.152115,0.016,1.67,0.02672,1.0,7.228999999999999
50,105,105,51633,20,hybrid,1000,216,Gambia,alpha,978342.843696096,1100.0,976906.1784589804,93,22.154112,0.016,1.67,0.02672,1.0,7.228999999999999
52,107,107,51633,20,hybrid,1000,216,Gambia,alpha,983847.88374443,1320.0,982585.8682933686,480,22.304026,0.016,1.67,0.02672,1.0,7.228999999999999
53,108,108,51633,20,hybrid,1000,216,Gambia,alpha,982813.6098985936,1120.0,981882.2613875248,792,22.24641,0.016,1.67,0.02672,1.0,7.228999999999999
54,109,109,51633,20,hybrid,1000,216,Gambia,alpha,981737.3045060429,980.0,980658.4996363958,812,22.066706,0.016,1.67,0.02672,1.0,7.228999999999999
56,112,112,51633,20,hybrid,1000,216,Gambia,alpha,981775.1529358008,920.0,980849.9022834358,308,22.082912,0.016,1.67,0.02672,1.0,7.228999999999999
57,115,115,51633,20,hybrid,1000,216,Gambia,alpha,980934.0148730046,1420.0,979601.0853617704,977,22.177444,0.016,1.67,0.02672,1.0,7.228999999999999
59,119,119,51633,20,hybrid,1000,216,Gambia,alpha,979962.265886078,1060.0,978588.4965814792,220,22.204144,0.016,1.67,0.02672,1.0,7.228999999999999
61,121,121,51633,20,hybrid,1000,216,Gambia,alpha,980320.1093121064,880.0,979531.561489278,542,22.317747,0.016,1.67,0.02672,1.0,7.228999999999999
64,130,130,51633,20,hybrid,1000,216,Gambia,beta,898167.1559999872,1020.0,897282.1983136727,306,22.142147,0.016,1.0,0.016,1.0,7.228999999999999
65,132,132,51633,20,hybrid,1000,216,Gambia,alpha,980310.4931737405,960.0,979368.0724867166,943,22.150616,0.016,1.67,0.02672,1.0,7.228999999999999
68,136,136,51633,20,hybrid,1000,216,Gambia,delta,1003040.7899815288,1240.0,1001572.2791862407,599,22.208778,0.016,2.2,0.0352,1.0,7.228999999999999
70,139,139,51633,20,hybrid,1000,216,Gambia,alpha,980934.0148730046,1420.0,979601.0853617704,977,22.177444,0.016,1.67,0.02672,1.0,7.228999999999999
71,140,140,51633,20,hybrid,1000,216,Gambia,gamma,995213.9384046176,1080.0,994042.6129539976,367,22.272604,0.016,2.0,0.032,1.0,7.228999999999999
72,141,141,51633,20,hybrid,1000,216,Gambia,alpha,983153.33138863,1120.0,982113.0508889352,672,22.175383,0.016,1.67,0.02672,1.0,7.228999999999999
73,142,142,51633,20,hybrid,1000,216,Gambia,alpha,980426.6040263894,1080.0,979383.7598238704,385,22.120533,0.016,1.67,0.02672,1.0,7.228999999999999
74,148,148,51633,20,hybrid,1000,216,Gambia,alpha,979953.0589662543,1300.0,978675.267038138,320,22.077753,0.016,1.67,0.02672,1.0,7.228999999999999
75,149,149,51633,20,hybrid,1000,216,Gambia,alpha,979039.90321153,1180.0,978153.9504649094,873,22.035057,0.016,1.67,0.02672,1.0,7.228999999999999
78,152,152,51633,20,hybrid,1000,216,Gambia,delta,1003956.7693289212,1320.0,1002543.8441238092,248,22.153603,0.016,2.2,0.0352,1.0,7.228999999999999
82,158,158,51633,20,hybrid,1000,216,Gambia,alpha,983590.1903881552,1200.0,982484.8415009636,449,22.081823,0.016,1.67,0.02672,1.0,7.228999999999999
86,164,164,51633,20,hybrid,1000,216,Gambia,alpha,979824.643980203,1091.305653512308,978905.80637745,290,22.266365,0.016,1.67,0.02672,1.0,7.228999999999999
89,168,168,51633,20,hybrid,1000,216,Gambia,alpha,982218.1329883024,1000.0,981244.385172839,776,22.253887,0.016,1.67,0.02672,1.0,7.228999999999999
91,170,170,51633,20,hybrid,1000,216,Gambia,alpha,983707.9728889652,1220.0,982653.6199612776,66,22.246086,0.016,1.67,0.02672,1.0,7.228999999999999
93,175,175,51633,20,hybrid,1000,216,Gambia,alpha,980103.8146599382,1040.0,979313.481183926,109,22.155386,0.016,1.67,0.02672,1.0,7.228999999999999
97,181,181,51633,20,hybrid,1000,216,Gambia,alpha,981560.3429834112,1220.0,980205.4170680512,954,22.09275,0.016,1.67,0.02672,1.0,7.228999999999999
99,186,186,51633,20,hybrid,1000,216,Gambia,alpha,981012.077592366,1000.0,979920.433322752,300,22.020159,0.016,1.67,0.02672,1.0,7.228999999999999
100,188,188,51633,20,hybrid,1000,216,Gambia,alpha,978998.5193703892,1000.0,978184.2639637148,488,22.081684,0.016,1.67,0.02672,1.0,7.228999999999999
101,191,191,51633,20,hybrid,1000,216,Gambia,alpha,979643.6755549548,1200.0,978599.7207651231,692,22.33311,0.016,1.67,0.02672,1.0,7.228999999999999
103,197,197,51633,20,hybrid,1000,216,Gambia,delta,1003030.4889925056,1060.0,1002065.614640036,496,22.285395,0.016,2.2,0.0352,1.0,7.228999999999999
104,198,198,51633,20,hybrid,1000,216,Gambia,alpha,979394.6464523198,1220.0,978153.470258078,176,22.21526,0.016,1.67,0.02672,1.0,7.228999999999999
