,Unnamed: 0,G_Na,G_si,G_K,G_K1,G_Kp,G_b,max_voltage,rest_voltage,max_voltage_gradient,dome_voltage,APD50,APD90
139,139,0.8516722747442717,0.16374040001203058,0.7740939017546387,0.9655611953124874,0.852798502930606,0.9766640337710355,49.379249345321085,-84.42393953293174,354.41996663854604,1.2917453471393008,175,260
140,140,0.38798433928552134,0.6666655380393547,0.48565285366841615,0.3388057951077079,0.3479936098041622,0.36451484016461644,46.05794418100835,-83.93651625953682,319.42823086727526,46.05794418100835,292,396
141,141,0.9298103037317563,0.9755702881994638,0.24259872525141166,0.16269650000670635,0.33822474097826727,0.11995076657933532,51.553092971183645,-83.61754736648093,377.801159053545,21.364846300184,351,501
142,142,0.4665350859050899,0.05488874398485079,0.6553404136513141,0.11475798507745746,0.9400132587020061,0.2634535081721313,47.3518237669912,-83.898893586414,332.6880356763893,6.123048807163563,217,313
143,143,0.8219137692584629,0.6595064063986255,0.3253035940513892,0.7240535553198884,0.7158552616748936,0.09556231003586721,48.95982709267107,-84.9322276005193,370.5193210761868,48.95982709267107,319,423
144,144,0.5251631114952695,0.09396478396577095,0.5123091225385974,0.8426822999749839,0.1759766771969531,0.7352088519841042,46.536840107298055,-84.56235349140404,345.8235128681761,46.536840107298055,200,281
145,145,0.05504935878819604,0.43435280774598944,0.4097862005228859,0.23745121190920668,0.33268003194872753,0.08782226330500625,41.53672266486447,-84.2464669563352,300.3067321028204,41.53672266486447,303,395
146,146,0.7096084199601246,0.27436343444197026,0.9597226754713536,0.9190482201234152,0.8016965422142336,0.5639612042690284,47.85112556770916,-84.81012359675498,361.1825136341038,6.262963773542902,210,289
147,147,0.9203980331510252,0.9571297561529948,0.19586931266712673,0.1323593874221557,0.8172285963414491,0.37089424537849497,51.69180884419241,-83.21534084226576,365.224843851314,16.149193690436608,328,490
148,148,0.2531934334874512,0.2508304399845658,0.3749147517869428,0.9306706440541261,0.22779512913484115,0.752791894500194,43.09680243529403,-84.62258511416105,307.78308696474096,6.716754913939188,231,309
